Product Name,Variant Name,Full Name,Price,Compare At Price,SKU,Product Type,Vendor,Product URL,Image URL,Available,Availability Status,Description,Tags
Hot Knife,Onyx,Hot Knife - Onyx,$50.00,,810028445154,Peak PRO Accessories,Puffco,https://www.puffco.com/products/the-puffco-hot-knife,https://cdn.shopify.com/s/files/1/0319/5549/files/Peak-Pro-_0001_Onyx-HLT-Cap-Off.png?v=1756234969,True,In Stock,"Say goodbye to stickiness. The Hot Knife is a USB-C chargeable loading tool with a ceramic tip that heats at the push of a button. No more dirty dab tools, sticky fingers, or clothes fuzz in your bowl – just hold down the button and watch your extract drop off in 3 seconds.  *Caution - tip gets very","BFCM22, BYOSTEP4, EARLY25, Final Employee Collection, heated loading tool, Peak Accessory, Proxy Accessories, proxyacc, Sale, zip-not-restricted, zip-restricted"
Peak Pro 3DXL,Onyx,Peak Pro 3DXL - Onyx,$420.00,,810028448728,Peak PRO,Puffco,https://www.puffco.com/products/the-peak-pro,https://cdn.shopify.com/s/files/1/0319/5549/files/PeakProOnyxLeft3Quarter3DXL.png?v=1763407824,False,Out of Stock,"The new Peak Pro 3DXL is the pinnacle of hash technology. This premium smart rig delivers incredible flavor and unparalleled performance.Unlock the fullest potential of the plant with its patented 3DXL Chamber, single-button interface, and deep customization via the Connect app. Featuring the Joysti","42025, SEZZLE"
Peak Pro 3DXL,Pearl,Peak Pro 3DXL - Pearl,$420.00,,810028448735,Peak PRO,Puffco,https://www.puffco.com/products/the-peak-pro-pearl,https://cdn.shopify.com/s/files/1/0319/5549/files/PeakProPearlLeft3Quarter3DXL.png?v=1755801933,True,In Stock,"  The new Peak Pro 3DXL is the pinnacle of hash technology. This premium smart rig delivers incredible flavor and unparalleled performance.Unlock the fullest potential of the plant with its patented 3DXL Chamber, single-button interface, and deep customization via the Connect app. Featuring the Joys","42025, SEZZLE"
Peak Pro 3DXL Chamber,Silver,Peak Pro 3DXL Chamber - Silver,$100.00,,810028446502,Peak PRO Accessories,Puffco,https://www.puffco.com/products/peak-pro-3d-xl-chamber,https://cdn.shopify.com/s/files/1/0319/5549/files/3dxl_0004_Layer-Comp-5.png?v=1763421662,True,In Stock,"78% larger bowl. 2x more vapor. The Peak Pro 3DXL is the world’s first high capacity e-rig chamber. Delivering the same incredible flavor and consistency our patented 3D technology is known for, the 3DXL’s deeper chamber and XL Joystick let you load fuller and rip harder—with less reclaim. The 3DXL ",
Peak Pro 3D Chamber,Default Title,Peak Pro 3D Chamber,$75.00,,810028442979,Peak PRO Accessories,Puffco,https://www.puffco.com/products/peak-pro-3d-chamber,https://cdn.shopify.com/s/files/1/0319/5549/products/3DChamber.png?v=1635531440,True,In Stock,"Our patented 3D Chamber gives you better flavor and a consistent hit every time. Innovative sensors provide real-time temperature control, while heat traces embedded in the ceramic walls vaporize concentrate from the sides – not the bottom. This top-tier technology protects the terpenes and cannabin","Accessory, Atomizer, BFCM22, Final Employee Collection, Peak PRO, product-disclaimer, zip-restricted"
Peak Pro 3DXL Chamber,Limited Edition Black,Peak Pro 3DXL Chamber - Limited Edition Black,$100.00,,850068033430,Peak PRO Accessories,Puffco,https://www.puffco.com/products/peak-pro-black-3dxl-chamber,https://cdn.shopify.com/s/files/1/0319/5549/files/3DXL_Black_Interior_Gallery.png?v=1763426344,True,In Stock,"78% larger bowl. 2x more vapor. The Peak Pro 3DXL is the world’s first high capacity e-rig chamber. Delivering the same incredible flavor and consistency our patented 3D technology is known for, the 3DXL’s deeper chamber and XL Joystick let you load fuller and rip harder—with less reclaim. The 3DXL ",BFCM25
Peak,Onyx,Peak - Onyx,$220.00,,810028447004,Peak,Puffco,https://www.puffco.com/products/the-peak,https://cdn.shopify.com/s/files/1/0319/5549/files/onyx_0003_Peak-Onyx-3Quarters-Left.png?v=1765323176,True,In Stock,"<span>The new Peak is the most effortless dab experience ever. Smarter, simpler, and comfy in-hand, our original intelligent vaporizer now features a 3D Chamber, Joystick Cap, and real-time temperature control. With its seamless single-button interface, premium water filtration and four dialed heat ",
Peak,Bliss,Peak - Bliss,$220.00,,810028449831,Peak,Puffco,https://www.puffco.com/products/the-peak-bliss,https://cdn.shopify.com/s/files/1/0319/5549/files/Peak-Cloud-3Quarters-Left.png?v=1739226008,True,In Stock,"<span>The new Peak is the most effortless dab experience ever. Smarter, simpler, and comfy in-hand, our original intelligent vaporizer now features a 3D Chamber, Joystick Cap, and real-time temperature control. With its seamless single-button interface, premium water filtration and four dialed heat ",
Peak 3D Chamber,Default Title,Peak 3D Chamber,$60.00,,810028448117,Peak Accessories,Puffco,https://www.puffco.com/products/new-peak-3d-chamber,https://cdn.shopify.com/s/files/1/0319/5549/files/chambernsticks_0000_Peak_-Chamber_-Joystick-Cap_-Onyx.png?v=1721265198,True,In Stock,"The new Peak 3D Chamber gives you bigger clouds, better flavor, and a consistent hit every time. Innovative sensors provide real-time temperature control, while heat traces embedded in the ceramic walls vaporize concentrate from the sides — not the bottom. <meta charset=""utf-8"">This top-tier technol",
Pivot,Onyx,Pivot - Onyx,$130.00,,810028446687,Pivot,Puffco,https://www.puffco.com/products/pivot,https://cdn.shopify.com/s/files/1/0319/5549/files/ProxyOnly_0000_Pivot_-Onyx_-Font-Facing_-Light-On.png?v=1763421697,True,In Stock,"The Pivot puts the full Puffco experience in your pocket. The same size as a dab pen, this discreet, mobile vaporizer features a quick-release 3D Chamber that delivers premium flavor and real-time temperature control. With a light bar that serves as a visual dab timer, haptic feedback, a single-butt",Zelda
Pivot 3D Chamber 2-Pack,Default Title,Pivot 3D Chamber 2-Pack,$60.00,,810028448094,Pivot Accessories,Puffco,https://www.puffco.com/products/pivot-3d-chamber,https://cdn.shopify.com/s/files/1/0319/5549/files/chambers_0000_Pivot-Onyx_-2-Pack_-3D-Chamber_-Open.png?v=1728933623,True,In Stock,"Pivot’s quick-release 3D Chamber 2-Pack ensures you’re ready for anything. Preload the chambers before you head out, and pop on a fresh one with a twist whenever you need it. With Pivot's innovative algorithm driving the experience, you get consistent temps, big vapor, and incredible flavor.  Availa",Zelda
New Proxy,Onyx,New Proxy - Onyx,$250.00,,810028449893,Kits,Puffco,https://www.puffco.com/products/proxy-kit,https://cdn.shopify.com/s/files/1/0319/5549/files/Proxy_-Onyx_-Profile_-Left.png?v=1764658788,True,In Stock,"The new Proxy is smarter, smoother, and more powerful. A refined shape delivers bigger, cleaner hits with a refined feel in your hand. The upgraded 3D Chamber unlocks bigger dabs, better flavor, and reduces splash out. Bluetooth control via the Puffco Connect App puts full control of temp, session t","Proxy V2, TOAD"
New Proxy,Haze,New Proxy - Haze,$250.00,,810028449909,Kits,Puffco,https://www.puffco.com/products/proxy-kit-haze,https://cdn.shopify.com/s/files/1/0319/5549/files/Proxy_-Haze_-Profile_-Left.png?v=1764658784,True,In Stock,"The new Proxy is smarter, smoother, and more powerful. A refined shape delivers bigger, cleaner hits with a refined feel in your hand. The upgraded 3D Chamber unlocks bigger dabs, better flavor, and reduces splash out. Bluetooth control via the Puffco Connect App puts full control of temp, session t","Proxy V2, TOAD"
